mean_amp,std_amp,variance_amp,max_amp,min_amp,range_amp,rms_amp,label_name,label_id
17.30042084341439,11.082669547978574,122.8255643096916,36.6742416417845,1.0,35.6742416417845,20.535240760074007,Empty,0
17.167675784758604,11.350458046321375,128.83289786130166,36.44856231409595,1.2071067811865477,35.241455532909406,20.569558813696464,Empty,0
17.74139525622666,10.21001403185552,104.2443865306866,33.84230397819373,1.1380711874576983,32.704232790736036,20.460526323768534,Empty,0
17.878325120144986,9.14189468564381,83.57423844340256,32.17304246143318,1.4714045207910316,30.701637940642144,20.07270365981676,Empty,0
17.81504500191575,8.501327039660165,72.27256143525706,31.817868741438264,2.05409255338946,29.763776188048805,19.733043601527807,Empty,0
17.506766367520996,8.852210579343517,78.36163214104128,31.4735063861622,2.4661152125560566,29.007391173606145,19.610497305304584,Empty,0
18.149185420386154,9.430214950460181,88.92895401188271,33.16007240895099,2.2708530666804214,30.889219342270568,20.445235358117692,Empty,0
18.790543472215536,9.79995822803075,96.03918127114761,34.546439565213284,1.8834271799576283,32.663012385255655,21.184530775728955,Empty,0
18.502252555033586,9.826169450179407,96.55360606363905,34.240567538890645,1.60947570824873,32.631091830641914,20.941484590493406,Empty,0
17.35740059061405,9.481315196426596,89.8953378539899,32.063692022898465,2.192163740847158,29.871528282051308,19.770104747990846,Empty,0
17.492231682124117,9.230300071737647,85.19843941432002,32.15788485300394,2.2708530666804214,29.887031786323522,19.770572932497238,Empty,0
18.469338284780022,9.996391033626876,99.92783369717581,35.276997289106895,1.60947570824873,33.667521580858164,20.99264605734496,Empty,0
18.723674722482464,10.427418094422753,108.73104811589506,38.14150251770104,1.138071187457698,37.003431330243345,21.42248432322074,Empty,0
18.899641644004156,10.516291400375096,110.59238481760318,37.54889793319785,1.138071187457698,36.41082674574015,21.619390677752765,Empty,0
18.091888900007593,10.175376470904721,103.53828632464143,36.97747231357403,1.4714045207910311,35.506067792783,20.748225722356786,Empty,0
18.379854447322334,9.99230575253252,99.84617425209449,35.831291647122505,2.05409255338946,33.777199093733046,20.912015933913903,Empty,0
17.545755439522353,9.653708820163432,93.19409398450124,34.16651059366908,1.7207592200561266,32.44575137361296,20.01794994936879,Empty,0
16.794701073931932,10.21180919779531,104.28104709217688,33.755428874542524,2.201850425154664,31.55357844938786,19.646234931649463,Empty,0
17.154966806143076,8.998896445123858,80.98013723006282,31.57088572890916,2.49071198499986,29.080173743909302,19.3645778279602,Empty,0
19.023158204159145,8.108894912857105,65.75417670775983,32.97631017425182,2.49071198499986,30.485598189251963,20.673712241735043,Empty,0
