label,mean_diff,max_diff,var_diff
0,1.2526814,2.6430855,0.25245675
0,0.39021835,1.1983051,0.076781586
0,1.4776196,3.5596428,0.999849
0,1.4960426,3.947174,1.1617454
0,0.66362077,2.247404,0.2350459
0,0.8693134,2.5666466,0.33162525
0,0.85883784,2.8046799,0.39328134
0,0.73355156,3.084179,0.42756543
0,0.85838324,2.2609806,0.19791678
0,0.9875793,2.0687122,0.14018163
0,1.256436,3.0134506,0.6159449
0,0.9238502,3.1118183,0.5416911
0,1.4784355,3.766512,0.9212098
0,1.8597052,4.8842907,1.401998
0,1.95844,6.493149,2.706242
0,2.056597,5.1872444,1.9537585
0,1.5737028,4.6555557,1.611459
0,1.4070185,3.6161346,0.9587785
0,1.3003755,4.548996,1.4200429
0,1.0273714,3.1286602,0.6063767
0,1.1662072,3.2114105,0.48192
0,1.298257,2.9964485,0.60450166
0,1.4429315,3.7578716,0.6962155
0,1.2362939,4.7233696,0.81294125
0,1.9304258,6.2138157,2.1597233
0,1.3480089,4.3060665,0.8636192
0,1.457523,3.4079628,0.8359735
0,2.063346,6.0809174,2.6402612
0,2.1308692,5.5862923,2.4057817
0,2.5505803,6.1214294,3.329781
0,2.5504782,6.5514603,2.9859433
0,2.02794,5.1577034,1.7625209
0,1.2161957,3.5140114,0.8226112
0,0.51215595,1.8138008,0.1998444
0,1.6034067,4.09062,0.99496263
0,2.3820465,5.92078,2.1589413
0,6.5417895,13.5290985,15.207254
0,11.268804,21.501934,56.928444
0,10.867558,21.874157,54.338432
0,5.298656,13.902775,19.306896
0,2.57584,6.702381,2.4199343
0,1.3778205,3.3046741,0.6052842
0,1.1064034,3.0612926,0.50996506
0,1.2916223,3.2316017,0.6823985
0,1.7457922,4.2044983,0.91504455
0,1.7695754,4.716999,1.1964343
0,1.5465423,4.032194,0.76564884
0,1.5020502,3.7581863,0.9214573
0,1.8270564,3.82514,0.7980595
0,2.3740368,5.1066017,1.567154
0,2.5676315,6.0518093,1.8467216
0,2.096127,5.8263187,2.2145722
0,1.7350652,5.6153927,1.7587767
0,1.8405228,6.7580013,2.6690907
0,2.1829214,5.915432,2.0321438
0,2.6489663,6.447544,2.4145856
0,2.6149628,5.777767,2.2231553
0,2.3655226,5.9911423,2.1638367
0,2.014363,6.160427,2.09059
0,1.8293409,6.2050114,1.9290853
0,2.170405,6.723425,2.349367
0,2.0861104,5.0816326,1.3682723
0,2.2681155,4.843096,1.4902813
0,2.1376245,4.9368134,1.6509858
0,2.0919895,4.733349,1.4640967
0,2.5401285,6.656595,2.1976256
0,2.3418462,6.266329,2.1409826
0,2.5807104,6.0526104,2.1018775
0,2.04678,5.090233,1.7408006
0,1.9477472,5.026886,1.7071738
0,1.8574091,4.9913483,1.5064863
0,2.0305226,5.1951523,1.6711879
0,2.2992892,5.290043,1.7471497
0,2.2537415,5.0502186,1.6089883
0,1.8625069,5.4903164,1.7048965
1,0.7601151,2.200285,0.2683684
1,1.9457079,7.5666695,1.1263088
1,1.3033768,4.138876,1.3857996
1,1.22615,3.6276178,0.6807284
1,0.8767615,2.6743221,0.47449973
1,1.1881638,3.0644207,0.54818416
1,1.8036134,6.9000015,2.0692074
1,1.4206138,3.7662544,0.64531404
1,1.2695996,6.7333336,0.61636984
1,0.75820136,7.4333344,0.75506157
1,0.84930557,2.3999996,0.3182278
1,0.9896829,5.2333336,0.49102715
1,0.85320985,5.9000015,0.4402976
1,1.1653954,2.9264107,0.45012778
1,2.1693294,9.766663,1.8138607
1,2.1885736,10.433334,2.6575809
1,2.393407,13.099998,3.785619
1,1.4640254,8.766663,1.2746102
1,0.9114399,7.7666626,0.69687784
1,1.1697787,3.1906214,0.5548629
1,1.0755308,3.2803802,0.465471
1,1.1601728,3.9000015,0.5198564
1,1.0072796,2.8246517,0.43956095
1,1.0647321,4.430195,1.0878007
1,1.1358145,3.772482,0.7034385
1,1.1330025,4.192066,1.077405
1,1.0059094,4.5666695,0.5763315
1,0.8684973,3.5666656,0.68944746
1,1.0131068,3.5666656,0.501548
1,1.1464536,2.9380112,0.62341195
1,1.2008898,3.5952682,0.7248685
1,1.011139,3.2784042,0.5808757
1,0.92835796,3.139389,0.3988726
1,0.9662158,3.8262157,0.60917556
1,1.1691899,5.504751,1.4608622
1,1.0007174,4.5116253,1.2677109
1,0.81654173,3.4197865,0.68968344
1,1.0474226,3.09371,0.49471182
1,0.98050004,3.5935402,0.6781096
1,1.228241,4.291933,0.81822056
1,1.3559022,5.2049503,1.2279497
1,1.0894079,4.2789936,0.968294
1,1.0206959,4.137726,0.96269304
1,1.0784703,4.8473644,1.1041555
1,1.2802963,24.399998,3.3638089
1,1.1460025,24.399998,3.3750296
1,1.0055537,24.399998,2.6895232
1,1.0396707,3.4388504,0.6560974
1,1.4234709,3.921011,1.1456459
1,1.9664595,4.152416,1.2309432
1,2.2427008,5.7666626,1.3807907
1,2.2688572,6.4333344,1.3453294
1,2.0327103,8.766663,2.30569
1,2.0370564,6.4333344,2.2781005
1,1.9569856,5.747572,2.3199477
1,1.7069241,4.843998,1.398261
1,1.4155155,5.4333344,1.3554286
1,1.7040786,24.066666,3.4584107
1,1.6521728,23.733334,3.765315
1,2.1239133,25.733334,4.7197356
1,2.1798446,13.099998,2.2328336
1,2.4076078,14.766663,3.9506032
1,2.2663724,11.099998,3.0885942
1,2.4028986,14.766663,3.2796452
1,3.3904395,32.399998,6.637785
1,3.4187996,28.399998,6.4465775
1,3.1273599,28.066666,5.4471126
1,2.5061486,28.066666,4.490938
0,2.1319976,25.633333,4.318574
0,1.886342,26.966665,4.767785
0,1.0889533,3.0625534,0.6069443
0,0.916415,2.6639786,0.4133528
0,0.9035455,2.515545,0.4162253
0,1.1270617,3.248661,0.70581496
0,1.1075065,3.3721466,0.69188684
0,1.0155864,3.1599236,0.56538945
0,0.8884782,2.926609,0.48303294
0,1.4570624,3.7508774,0.7318141
0,1.6463077,4.0473557,0.8670742
0,1.516825,27.300001,4.6613655
0,1.4524835,27.966665,4.808868
0,1.3146898,24.966665,3.8125565
0,1.9702485,4.443493,0.9387215
0,2.0789042,14.966667,1.8662043
0,2.4693213,14.966667,2.2372806
0,2.5678923,14.633333,2.689471
0,2.9355788,7.939682,2.9798322
0,2.6869137,6.008724,1.5799543
0,6.059846,14.269741,16.43292
0,5.325019,10.060101,10.650468
0,5.0082226,8.957048,9.808648
0,0.7195974,2.806429,0.4885042
0,1.3342594,4.626856,1.1609467
0,2.0314388,6.0824738,1.8770053
0,3.5931666,7.999033,2.8156195
0,2.9490917,7.5151024,3.441026
0,2.867299,7.02355,3.304859
0,3.1249652,7.02355,2.981304
0,1.9017661,5.1533966,1.6292129
0,0.8827446,2.9623966,0.36703315
0,1.0764081,2.7309933,0.33532387
0,1.8990486,4.360792,0.7814482
0,2.6499374,6.065052,1.5357592
0,2.280175,5.0546055,1.0339344
0,1.7563007,4.1088753,0.8731107
0,0.95029193,1.9741058,0.23056194
0,5.699867,14.735188,17.173805
0,5.9746766,14.508728,18.49226
0,5.969905,13.595768,17.352674
0,1.0002394,27.966665,4.5053024
0,0.8672893,27.966665,4.461494
0,0.6537177,27.966665,4.6052732
0,0.53931856,2.7229233,0.35880026
0,0.66366017,2.6415977,0.29959133
0,0.8258548,2.866909,0.4235781
0,0.5777676,2.0448837,0.25801072
0,0.43291503,1.4687157,0.06748774
0,1.3659915,3.8758125,0.8568426
0,2.516174,5.7268066,1.8675834
0,2.8517563,6.919655,2.5872097
0,1.0178008,4.790123,0.9962741
0,0.79882026,4.2104263,0.7857943
0,0.6814234,2.0266876,0.2205462
0,1.451428,3.6655045,0.73400617
0,2.442346,6.3881035,2.7952015
0,3.183142,6.5529976,3.8072145
0,3.8646655,9.0101795,5.656264
0,4.9547625,12.658962,11.496301
0,4.5254974,9.574566,7.254802
0,3.9619787,9.654419,6.3752594
0,3.7148428,8.935076,5.466347
0,3.9067936,10.299999,5.8936033
0,3.892703,10.273689,7.0337973
0,4.140473,11.299999,7.628476
0,3.8648422,10.478552,7.377398
0,4.0637107,10.299999,5.531374
0,3.6727078,9.054693,5.228637
0,3.4694126,21.3,6.4943852
0,3.5320234,8.966667,5.3245845
0,3.5618243,21.3,6.942881
0,3.8671966,21.3,7.250229
0,3.3954537,33.63333,10.086912
0,3.5284147,33.63333,10.037859
0,3.4186149,21.3,6.890149
0,3.894854,21.3,7.3536153
0,3.9423397,9.7729225,6.151311
0,3.7131171,21.3,7.292451
0,3.248063,8.966667,5.4107513
0,3.3903759,21.3,6.7793703
0,3.3392787,11.299999,5.0884986
0,3.4643114,11.299999,5.1268864
0,3.199274,11.299999,5.4388556
0,3.5998347,21.3,7.238622
0,3.8498638,21.633333,7.4899325
0,4.085519,21.633333,9.492003
0,4.123415,21.633333,9.668392
0,4.1170964,21.3,9.513445
0,3.9803889,21.3,7.404051
0,4.0295677,21.3,7.4533796
0,3.8892233,21.3,7.0141153
0,3.917599,21.3,7.2151337
0,3.3641295,8.966667,5.218671
0,3.3323228,21.3,6.9356604
0,3.5019917,9.11945,5.2256474
0,3.5692034,20.3,6.6601276
0,3.4813576,8.919767,4.997684
0,3.6214561,20.633333,8.418328
0,3.6943262,10.027504,6.7971263
0,3.8064287,10.260462,6.808159
0,3.281894,9.299999,4.7853065
0,3.443805,8.966667,4.977107
0,3.4502676,21.3,6.6289434
0,3.508458,21.3,6.7152557
0,3.411971,33.63333,9.686048
0,3.2936683,22.966667,6.79304
0,3.3927903,10.633333,4.8749914
0,3.752861,10.633333,5.075233
0,3.8608546,11.299999,5.281082
0,3.9171517,11.299999,5.217856
0,3.739354,10.197224,6.6841354
0,3.7246628,9.93054,6.309228
0,3.9107225,10.525166,7.0586667
0,3.823306,9.13118,5.2937946
0,3.9832866,9.554335,5.540047
0,3.7811487,8.959711,5.074422
0,3.446507,8.855635,5.361614
0,3.247024,8.398188,5.4113445
0,3.0843997,8.398188,5.2737527
0,3.270641,8.463564,5.4755607
0,3.240699,8.672802,5.276271
0,3.56661,9.205843,5.758774
0,3.9877565,27.633333,9.115637
0,4.236151,27.633333,9.014465
0,4.178356,28.300001,9.151042
0,4.067559,23.633333,7.910146
0,3.9394503,23.3,8.205385
0,3.7543366,22.966667,7.882321
0,3.508973,22.966667,7.541388
0,3.5865583,24.300001,7.502419
0,3.5679688,53.966667,19.480495
0,3.5617971,28.966665,8.673622
0,3.2550094,28.966665,8.677365
0,3.431809,9.159798,5.57963
0,3.4369254,9.23773,5.3338857
0,3.8096209,9.720446,5.715021
0,3.4427533,9.077272,5.2592
0,3.3079553,9.140085,5.350497
0,2.9443722,8.704535,4.9941225
0,3.1104262,9.001581,5.2574077
0,3.127916,8.848015,5.2734356
0,2.9604805,8.960951,5.0238123
0,3.2267354,9.133711,5.1446753
0,3.426879,9.05488,4.873643
0,3.762355,8.561062,4.57124
0,3.4641528,8.040758,4.3947387
0,3.5959702,8.382767,4.702785
0,3.599212,8.952324,4.8838844
0,3.9602644,10.49613,7.1135
0,3.7771723,10.192419,6.7322774
0,3.8516295,10.25506,7.07613
0,3.6248398,8.507444,5.821389
0,3.5078533,8.371084,5.2947183
0,3.5165336,8.799648,5.1070814
0,3.3401792,8.872389,5.0250287
0,3.45817,8.793261,4.957171
0,3.2144923,8.518375,4.999486
1,1.2512383,1.9461937,0.1053974
1,1.3036464,1.9389877,0.0904983
1,0.50566506,1.1508598,0.09626097
1,0.37650353,0.9139347,0.05968667
1,0.6691073,1.8997879,0.12064969
1,0.24227437,1.8997879,0.0837042
1,0.5763503,1.8997879,0.1285963
1,0.31101936,1.8997879,0.08289707
1,0.41868863,1.8997879,0.09721429
1,0.45627016,1.8997879,0.08991184
1,0.2573072,1.8997879,0.07639101
1,0.22353661,1.8997879,0.07531041
1,0.50008035,1.8997879,0.08200454
1,0.52201724,1.8997879,0.076081455
1,0.4768235,1.8997879,0.09438234
1,0.4078895,1.8997879,0.09170668
1,1.0523657,2.6970558,0.45785743
